"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag080",0,0,0,0,0,0,0,10,10,10,10,10
"ag081",0,0,0,0,0,0,0,0,4,4,4,4
"ag082",0,0,0,0,0,0,0,0,11,11,11,11
"ag083",0,0,0,0,0,0,0,0,4,4,4,4
"ag084",0,0,0,0,0,0,0,0,12,12,12,12
"ag085",0,0,0,0,0,0,0,0,0,9,9,9
"ag086",0,0,0,0,0,0,0,0,0,0,8,8
"ag087",0,0,0,0,0,0,0,0,0,0,6,6
"ag088",0,0,0,0,0,0,0,0,0,5,5,5
"ag089",0,0,0,0,0,0,0,0,0,14,14,14
"ag090",0,0,0,0,0,0,0,0,0,0,6,6
"ag093",0,0,0,0,0,0,0,0,0,0,8,8
"ag094",0,0,0,0,0,0,0,0,0,9,9,9
"ag095",0,0,0,0,0,0,0,0,0,0,16,16
"ag096",0,0,0,0,0,0,0,0,0,12,12,12
"ag098",0,0,0,0,0,0,0,0,14,14,14,14
"ag099",0,0,0,0,0,0,0,0,0,7,7,7
"ag100",0,0,0,0,0,0,0,0,8,8,8,8
"ag101",0,0,0,0,0,0,0,0,0,0,8,8
"ag102",0,0,0,0,0,0,0,0,0,10,10,10
"ag104",0,0,0,0,0,0,0,0,0,26,26,26
"ag105",0,0,0,0,0,0,0,0,0,0,10,10
"ag106",0,0,0,0,0,0,0,0,0,7,7,7
"ag107",0,0,0,0,0,0,0,0,9,9,9,9
"ag108",0,0,0,0,0,0,0,6,6,6,6,6
"ag109",0,0,0,0,0,0,0,0,0,0,0,22
"ag110",0,0,0,0,0,0,0,0,0,0,9,9
"ag111",0,0,0,0,0,0,0,0,0,0,7,7
"ag112",0,0,0,0,0,0,0,0,0,0,9,9
"ag113",0,0,0,0,0,0,0,0,0,11,11,11
"ag114",0,0,0,0,0,0,0,12,12,12,12,12
"ag117",0,0,0,0,0,0,0,0,0,0,0,6
"ag118",0,0,0,0,0,0,0,0,9,9,9,9
"ag119",0,0,0,0,0,0,0,0,8,8,8,8
"ag120",0,0,0,0,0,0,0,0,0,0,5,5
"ag122",0,0,0,0,0,0,0,9,9,9,9,9
"ag123",0,0,0,0,0,0,0,0,0,6,6,6
"ag124",0,0,0,0,0,0,0,0,0,0,8,8
"ag125",0,0,0,0,0,0,0,0,0,12,12,12
"ag126",0,0,0,0,0,0,0,6,6,6,6,6
"ag127",0,0,0,0,0,0,0,7,7,7,7,7
"ag128",0,0,0,0,0,0,0,6,6,6,6,6
"ag129",0,0,0,0,0,0,0,0,0,11,11,11
"ag130",0,0,0,0,0,0,0,0,7,7,7,7
"ag131",0,0,0,0,0,0,0,0,0,0,0,0
"ag132",0,0,0,0,0,0,0,0,0,0,0,7
"ag133",0,0,0,0,0,0,0,0,0,0,7,7
"ag134",0,0,0,0,0,0,0,0,0,12,12,12
"ag136",0,0,0,0,0,0,0,0,0,0,8,8
"ag137",0,0,0,0,0,0,0,7,7,7,7,7
"ag139",0,0,0,0,0,0,0,0,14,14,14,14
"ag140",0,0,0,0,0,0,0,1,1,1,1,1
"ag141",0,0,0,0,0,0,0,18,18,18,18,18
"ag142",0,0,0,0,0,0,0,0,0,8,8,8
"ag143",0,0,0,0,0,0,0,0,0,11,11,11
"ag144",0,0,0,0,0,0,0,0,0,8,8,8
"ag145",0,0,0,0,0,0,0,0,0,20,20,20
"ag147",0,0,0,0,0,0,0,0,15,15,15,15
"ag148",0,0,0,0,0,0,0,0,0,0,14,14
"ag149",0,0,0,0,0,0,0,0,8,8,8,8
"ag151",0,0,0,0,0,0,0,0,0,0,0,10
"ag152",0,0,0,0,0,0,0,0,0,0,15,15
"ag153",0,0,0,0,0,0,0,0,0,7,7,7
"ag154",0,0,0,0,0,0,0,0,0,8,8,8
"ag155",0,0,0,0,0,0,0,0,0,0,0,5
"ag156",0,0,0,0,0,0,0,10,10,10,10,10
"ag157",0,0,0,0,0,0,0,11,11,11,11,11
"ag159",0,0,0,0,0,0,0,0,12,12,12,12
"ag160",0,0,0,0,0,0,0,0,0,14,14,14
"ag161",0,0,0,0,0,0,0,0,0,7,7,7
"ag162",0,0,0,0,0,0,0,0,0,5,5,5
"ag163",0,0,0,0,0,0,0,0,0,5,5,5
"ag164",0,0,0,0,0,0,0,0,0,0,6,6
"ag165",0,0,0,0,0,1,1,1,1,1,1,1
"ag166",0,0,0,0,0,0,0,0,0,0,19,19
"ag167",0,0,0,0,0,0,0,0,0,0,8,8
"ag168",0,0,0,0,0,0,0,0,0,6,6,6
"ag169",0,0,0,0,0,0,0,0,0,6,6,6
"ag170",0,0,0,0,0,0,0,0,10,10,10,10
"ag171",0,0,0,0,0,0,0,0,0,0,3,3
"ag172",0,0,0,0,0,0,0,0,0,0,7,7
"ag173",0,0,0,0,0,0,0,0,0,0,10,10
"ag174",0,0,0,0,0,0,0,0,0,0,0,0
"ag175",0,0,0,0,0,0,0,10,10,10,10,10
"ag176",0,0,0,0,0,0,0,0,0,6,6,6
"ag177",0,0,0,0,0,0,0,0,0,0,6,6
"ag178",0,0,0,0,0,0,0,0,0,6,6,6
"ag179",0,0,0,0,0,0,0,0,0,0,6,6
"ag180",0,0,0,0,0,0,0,0,0,0,0,5
"ag181",0,0,0,0,0,0,0,0,0,16,16,16
"ag182",0,0,0,0,0,0,0,0,0,0,9,9
"ag183",0,0,0,0,0,0,0,0,0,0,0,10
"ag184",0,0,0,0,0,0,0,0,0,5,5,5
"ag185",0,0,0,0,0,0,0,10,10,10,10,10
"ag186",0,0,0,0,0,0,0,0,0,0,5,5
"ag188",0,0,0,0,0,0,0,0,0,9,9,9
"ag189",0,0,0,0,0,0,0,0,10,10,10,10
"ag191",0,0,0,0,0,0,0,18,18,18,18,18
